shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y1_Z1_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751484644253 8.698849166296922 20.838366025475658 18  -0.00235156 -0.00227449 -0.00214961 -0.00263012 -0.00261150 -0.00263043 -0.00261118 -0.00000001 -0.00000000 0.00027889 0.00035596 0.00046157
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X-1_Y-1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413328971884 8.69884916629692 20.92901396777849 18  -0.00029832 -0.00027173 -0.00020562 0.00002002 0.00004962 0.00002006 0.00004973 -0.00000000 0.00000001 -0.00031838 -0.00029179 -0.00025536
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.573765382331708 8.813938135457056 20.953454990935 18  -0.00134759 -0.00140102 -0.00150300 -0.00237036 -0.00239928 -0.00237062 -0.00239939 -0.00000001 -0.00000000 0.00102304 0.00096961 0.00089640
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 8.813938135457056 7.664413314073836 4.565751473146237 21.044102922677126 18  0.00212990 0.00209825 0.00209392 0.00194376 0.00198250 0.00194333 0.00198237 -0.00000000 0.00000000 0.00018657 0.00015492 0.00011155
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.664413314073836 8.813938135457056 21.044102922677126 18  -0.00123100 -0.00128252 -0.00133080 -0.00235394 -0.00233212 -0.00235416 -0.00233185 -0.00000001 -0.00000000 0.00112316 0.00107165 0.00100105
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413328971884 8.813938135457056 21.04410293693863 18  0.00006444 0.00007027 0.00008988 -0.00015543 -0.00014396 -0.00015557 -0.00014397 -0.00000001 0.00000000 0.00022001 0.00022585 0.00023385
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 8.698849166296922 6.283227169962362 6.283227169962359 21.265303506221642 18  0.00168943 0.00172287 0.00177291 0.00224430 0.00224784 0.00224455 0.00224874 -0.00000001 0.00000000 -0.00055511 -0.00052167 -0.00047583
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 8.813938135457056 6.283227169962362 6.283227169962361 21.380392475381775 18  -0.00142608 -0.00143366 -0.00147457 -0.00201603 -0.00204621 -0.00201580 -0.00204633 -0.00000001 0.00000000 0.00058973 0.00058215 0.00057176
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 6.283227169962361 7.573765382331708 21.430757926828548 18  -0.00163212 -0.00158774 -0.00153786 -0.00206405 -0.00207533 -0.00206442 -0.00207537 -0.00000002 0.00000000 0.00043231 0.00047669 0.00053751
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 6.283227169962359 7.664413314073836 7.57376537453448 21.521405858570674 18  0.00178036 0.00176495 0.00175283 0.00203288 0.00204220 0.00203330 0.00204229 -0.00000002 0.00000000 -0.00025292 -0.00026834 -0.00028946
